1,45.09,29.38,100948.00,28.62,1.00
2,44.07,29.05,100949.00,28.19,0.51
1,45.06,29.37,100947.75,28.62,1.00
2,44.09,29.05,100945.50,28.12,0.51
1,45.06,29.38,100953.00,28.69,1.00
2,44.14,29.05,100945.50,28.12,0.52
1,45.06,29.39,100947.25,28.62,0.98
2,44.16,29.04,100949.50,28.19,0.52
1,45.09,29.41,100949.00,28.62,1.03
2,44.10,29.03,100947.75,28.19,0.51
1,45.12,29.39,100947.25,28.62,1.07
2,44.00,29.02,100946.00,28.12,0.51
1,45.13,29.38,100949.00,28.62,1.07
2,44.23,29.03,100948.00,28.12,0.51
1,45.12,29.39,100942.50,28.62,1.07
2,44.30,29.02,100946.00,28.12,0.51
1,45.09,29.42,100953.25,28.69,1.05
2,44.20,29.03,100949.25,28.12,0.51
1,45.05,29.42,100951.75,28.69,1.06
2,44.19,29.02,100947.75,28.12,0.51
1,44.98,29.41,100951.25,28.69,1.05
2,44.19,29.04,100946.00,28.12,0.51
1,44.90,29.41,100945.50,28.62,1.04
2,44.13,29.04,100947.75,28.19,0.50
1,44.83,29.41,100949.25,28.69,1.02
2,44.17,29.03,100946.25,28.12,0.51
1,44.77,29.41,100946.25,28.62,1.04
2,44.21,29.04,100949.75,28.12,0.53
1,44.61,29.39,100945.00,28.62,1.05
2,44.18,29.04,100949.75,28.19,0.52
1,44.51,29.41,100946.50,28.62,1.00
2,44.07,29.04,100952.00,28.19,0.51
1,44.42,29.39,100951.00,28.69,1.02
2,44.02,29.05,100950.25,28.19,0.50
1,44.35,29.41,100945.50,28.62,1.01
2,43.93,29.05,100949.50,28.19,0.50
1,44.27,29.38,100943.25,28.62,1.05
2,43.84,29.06,100951.50,28.19,0.51
1,44.24,29.38,100945.50,28.62,0.94
2,43.80,29.06,100947.25,28.19,0.52
1,44.21,29.38,100950.00,28.69,0.96
2,43.78,29.06,100949.75,28.19,0.51
1,44.19,29.37,100947.25,28.62,0.94
2,43.74,29.05,100947.50,28.19,0.52
1,44.18,29.36,100944.25,28.62,1.04
2,43.77,29.06,100946.00,28.19,0.51
1,44.20,29.36,100945.25,28.62,1.02
2,43.79,29.05,100946.25,28.19,0.50
1,44.27,29.37,100943.00,28.62,1.06
2,43.80,29.06,100949.50,28.19,0.50
1,44.28,29.37,100944.75,28.62,1.06
2,43.84,29.05,100949.50,28.19,0.50
